mos	fr	en
Bẽneg bɛrengã tãoong n kõ-m tɩ m loe m taba.	Bẽneg bɛrengã tãoong n kõ-m tɩ m loe m taba.	Bẽneg bɛrengã tãoong n kõ-m tɩ m loe m taba.
Ra sɩɩs ro-kãnga rõoda tɩ b ninga bẽodgo.	Ra sɩɩs ro-kãnga rõoda tɩ b ninga bẽodgo.	Ra sɩɩs ro-kãnga rõoda tɩ b ninga bẽodgo.
A bɛ a roogã.	Il a colmaté sa case.	He repaired his house.
Mogd pa mokd bɛd n bas bãooneg ye.	Les termites ne s'attaqueront pas aux grands et épargner les petits. (Proverbe: il s'agit d'un traitement de tous les citoyens d'un pays sur un pied d'égalité sans aucune partialité)	Termites will not attack the big ones and spare the little ones. (Proverb: it is about the treatment of all the citizens of a country on an equal footing without any partiality)
rũmsã taba taamã tɩ fers a naaga bɛgdã n lebg bɛda.	rũmsã taba taamã tɩ fers a naaga bɛgdã n lebg bɛda.	rũmsã taba taamã tɩ fers a naaga bɛgdã n lebg bɛda.
F biigã bɛɛ?	Où est ton enfant ?	where is your child?
Rao wã wudgame n bas pagã t'a yɛs bɛɛ.	Rao wã wudgame n bas pagã t'a yɛs bɛɛ.	Rao wã wudgame n bas pagã t'a yɛs bɛɛ.
bʋ-yãangã maanda bɛɛ', bɛɛ' n boond a kambã.	La chèvre a crié ben pour appeler ses petits.	The goat cried bah to call her young.
B fãoo lalgã tãnd tɩ saagã wẽneg n bɛɛg-a.	B fãoo lalgã tãnd tɩ saagã wẽneg n bɛɛg-a.	B fãoo lalgã tãnd tɩ saagã wẽneg n bɛɛg-a.
F sã n ka tar n kõt sãan, bɩ f kɩt tɩ bɛɛl wʋm-a.	Si tu n'as rien à donner à l'étranger, il faut le combler de salutations. (proverbe: il faut accorder à l'étranger une hospitalité débordante et exemplaire.)	If you have nothing to give to the stranger, you must shower him with greetings. (proverb: A stranger must be granted overflowing and exemplary hospitality.)
Ko-bɛrg mengã ka be a yʋʋrẽ wã ye.	Il n'y a pas la moindre goutte d'eau dans son canari.	There is absolutely no water in her pot.
Sagbã ka moe tɩ kẽ ye, a yaa bɛg-bɛg woto.	Sagbã ka moe tɩ kẽ ye, a yaa bɛg-bɛg woto.	Sagbã ka moe tɩ kẽ ye, a yaa bɛg-bɛg woto.
A sẽn wugs a noorã la a yẽndã sẽn yɩ bɛla.	A sẽn wugs a noorã la a yẽndã sẽn yɩ bɛla.	A sẽn wugs a noorã la a yẽndã sẽn yɩ bɛla.
Biig yam pa yɩɩd a bɛlgd ye.	L'intelligence de l'enfant ne dépasse pas celui qui le berce. (Proverbe: aucune personne ne peut dire qu'elle est plus intelligente ou plus rusée que tout le monde. Celui qui nous conseille à toujours quelque chose de plus à nous apporter.)	The intelligence of the child does not go beyond the one who rocks it. (Proverb: No one can say that they are smarter or more cunning than everyone. The one who advises us always has something more to give us.)
Rũndã bɛnd são beoog kurga.	Le cache-sexe d'aujourd'hui vaut mieux que la culotte (ou le pantalon) de demain. proverbe indiquant: une solution concrète immédiate vaut toujours mieux qu'une solution probable aussi belle soit-elle. Un tiens vaut mieux que deux, tu l'auras)	The thong of today is better than the panties (or pants) of tomorrow. A proverb indicating: an immediate concrete solution is always better than a probable solution no matter how beautiful. A bird in hand is worth two in the bush)
Ned kam fãa wãb a taoore bɛnga.	Que chacun mange le haricot qui est devant lui. (proverbe: chacun doit s'occuper de ses propres affaires)	Let everyone eat the bean that is in front of them. (proverb: everyone should mind their own business)
, ; . ? !	, ; . ? !	, ; . ? !
A zagl yaa gom-bers soaba.	A zagl yaa gom-bers soaba.	A zagl yaa gom-bers soaba.
Wʋk-y ne tãn-koeem-bɛsmã fãa.	Wʋk-y ne tãn-koeem-bɛsmã fãa.	Wʋk-y ne tãn-koeem-bɛsmã fãa.
F sã n zĩnd kɩɩg sikrẽ, f sã n pa yɩ kɩɩgã bɛya, f yɩta koambã bɛya.	Si tu assistes à la chasse du rat palmiste, si tu ne fais pas du rat un ennemi, tu seras l'ennemi des enfants. (Proverbe: quelle que soit l'issue, l'adulte ne peut s'empêcher d’avoir une certaine responsabilité sur son dos.)	If you take part in the palm rat hunt, if you don't make the rat an enemy, you will be the enemy of the children. (Proverb: Whatever the outcome, adults cannot help but have some responsibility on their backs.)
Bi yaa bã-longdem.	La rougeole est une maladie contagieuse.	Measles is a contagious disease.
A wata beoogo bi ra-yɩta.	Il vient demain ou après-demain.	He comes tomorrow or after tomorrow.
A bi-beelmã yĩnga b yõk-a lame n sui roogo.	A bi-beelmã yĩnga b yõk-a lame n sui roogo.	A bi-beelmã yĩnga b yõk-a lame n sui roogo.
F sã n kʋ / dig f bi-bɛɛga, f to bi-bɛɛg n kʋʋd-fo.	Si tu tues (ou chasses) ton enfant téméraire, c'est l'enfant téméraire d'autrui qui te tuera. (Proverbe: on ne porte pas atteinte à une connaissance ou un membre de sa famille impunément.)	If you kill (or hunt) your reckless child, it is the reckless child of another who will kill you. (Proverb: one does not harm an acquaintance or a member of his family with impunity.)
sã n yeel-a t'a maan bũmbu, tao-tao bal t'a maan-a-lame ne yẽesem: yaa bi-kʋɩdga.	sã n yeel-a t'a maan bũmbu, tao-tao bal t'a maan-a-lame ne yẽesem: yaa bi-kʋɩdga.	sã n yeel-a t'a maan bũmbu, tao-tao bal t'a maan-a-lame ne yẽesem: yaa bi-kʋɩdga.
Biigã yaa bi-nifu n le ya yaare.	Biigã yaa bi-nifu n le ya yaare.	Biigã yaa bi-nifu n le ya yaare.
Tɩ-sõng fãa womda bi-sõama, la tɩ-wẽng fãa womda bi-yoodo.	Un bon arbre produit de bons fruits et un arbre malade de mauvais fruits.	A healthy tree bears good fruit, but a poor tree bears bad fruit.
Bi-sõng yaa neb fãa biiga.	L'enfant bien éduqué est l'enfant de tout le monde. (Proverbe: Toute personne qui pose des bonnes actions sans discrimination est l'ami de tout le monde)	The well-educated child is everyone's child. (Proverb: Anyone who does good deeds without discrimination is everyone's friend)
A ya m bi-yende.	C'est mon fils unique.	He is my only child.
A biba sʋʋrã n yõke.	A biba sʋʋrã n yõke.	A biba sʋʋrã n yõke.
Bõe n digd-y tɩ y zoet bid-bidi woto?	Qu'est-ce que vous a pris que vous courez si vite?	What's got into you that you're running so fast?
Lik bida pʋgẽ.	Dans les ténèbres.	In the dark.
A rũmdã bidgame.	Le genou a déboîté.	The knee has dislocated.
Yʋʋrã bidgame tɩ koomã raage.	Le canari a basculé et l'eau s'est versée.	The jar tilted and the water poured out.
Pagã tʋka yʋʋrã bidimdi.	La femme porte le canari penché.	The woman carries a tilted water jar.
A wẽ-a-la biga.	A wẽ-a-la biga.	A wẽ-a-la biga.
A Zã waame bii?	Jean est-il venu ?	Did John come (or not)?
A zĩime t'a yamã ya bii.	Elle est assis avec un air songeur.	She sits thoughtfully.
Rũm-kɩɩmã maanda bii, bii n n boond bʋʋgã n dat n yõke.	Le berger fait «bii», «bii» pour appeler la chèvre.	"The shepherd says ""bii"", ""bii"" to call the goat."
bʋʋsã reemã lal-pãarã zugu n biis tãn-koɛɛmã.	bʋʋsã reemã lal-pãarã zugu n biis tãn-koɛɛmã.	bʋʋsã reemã lal-pãarã zugu n biis tãn-koɛɛmã.
nag-bila, nag-bi	veau, veaux	calf, calves
Kʋɩlen-bila.	Clé (lit. partie de la porte).	Key (lit. part of the door).
... bũmb nins sẽn ya tɩlɛ tɩ zĩnd bilf sãn paase.	... ce qui doit arriver bientôt.	... what must happen very soon. (Rev. 22:6)
Yaa bilf-bilf tɩ tab raadẽ.	C'est petit à petit que le tabac s'écoule. (proverbe: petit à petit l'oiseau fait son nid)	It is little by little that the tobacco sells. (proverb: little by little the bird makes its nest)
Yaas bilfu.	Attends un peu.	Wait for a little while.
Bi-bilf.	Petit enfant.	Small child.
N wa ne vẽenem	N wa ne vẽenem	N wa ne vẽenem
zu-bilga	cheveux entortillé dans tous les sens	hair twisted in all directions
sɩddd ...	sans bruit	noiseless
weefã taoor ru wã ka tõe n bilg ye.	On ne peut pas faire tourner la roue devant du vélo.	You cannot spin the front wheel of the bike.
Pagã bila bengdã n dʋʋs yão.	Pagã bila bengdã n dʋʋs yão.	Pagã bila bengdã n dʋʋs yão.
Bilim weefã n kẽes roogẽ.	Roule le vélo dans la maison.	Push or ride the bike into the house.
Bãmb bilsa mukã ne nus n dat n bãng a sẽn date.	Ils ont indiqué avec des gestes de leurs mains pour savoir ce que le muet veut.	They indicated with signs of their hands to find out what the deaf person wants.
A lʋɩɩ vugr bal bip.	A lʋɩɩ vugr bal bip.	A lʋɩɩ vugr bal bip.
A yɩɩ bir-bir n neke.	A yɩɩ bir-bir n neke.	A yɩɩ bir-bir n neke.
A baoo põosg n birg kamaangã.	Il met du fumier sur le champ de maïs.	He puts manure on the cornfield.
B ling-a lame t'a birimd n yik n wudgi.	B ling-a lame t'a birimd n yik n wudgi.	B ling-a lame t'a birimd n yik n wudgi.
B fãa yɩɩ birrr n wa gũbg tõndo.	B fãa yɩɩ birrr n wa gũbg tõndo.	B fãa yɩɩ birrr n wa gũbg tõndo.
Rãamã yaa beoogo, bis bal n nan be.	Rãamã yaa beoogo, bis bal n nan be.	Rãamã yaa beoogo, bis bal n nan be.
A zomba kʋl-geemdã tɩ bisg t'a lʋɩ koomẽ wã.	A zomba kʋl-geemdã tɩ bisg t'a lʋɩ koomẽ wã.	A zomba kʋl-geemdã tɩ bisg t'a lʋɩ koomẽ wã.
bis sãn yooge, sẽn kell tɩ b kõt kukuyã boondame tɩ biskãse.	bis sãn yooge, sẽn kell tɩ b kõt kukuyã boondame tɩ biskãse.	bis sãn yooge, sẽn kell tɩ b kõt kukuyã boondame tɩ biskãse.
A pʋgã wukame n lebg biudungu.	A pʋgã wukame n lebg biudungu.	A pʋgã wukame n lebg biudungu.
Wi-bĩinfu.	Fil fin.	Thin yarn /thread.
Bĩinif n be a yɛgrã zugu.	Bĩinif n be a yɛgrã zugu.	Bĩinif n be a yɛgrã zugu.
Kũsgã tobame n yɛs bĩma.	Kũsgã tobame n yɛs bĩma.	Kũsgã tobame n yɛs bĩma.
Tɩɩgã tobame n bĩmi.	L'arbre a repoussé des feuilles et est devenu ombrageux.	The tree became new leaves and got shady.
Nug pa bĩngi a pa rɩkd ye. / Nug sẽn bĩng n dɩkde.	La main ne prend que ce qu'elle a déposé. / On ne prend que ce qu'on a déposé. (Proverbe: nous devons épargner afin de pouvoir faire face aux obligations qui se présenteront à nous d'un moment à un autre.)	The hand takes only what it has deposited. / We only take what we have deposited. (Proverb: We must save so that we can meet the obligations that will come our way at any moment.)
Bɩ ya wa beoogo.	Alors, venez demain.	So, you come tomorrow.
Ned bɩ rũnga?	Une personne ou un animal ?	A person or an animal?
Yãmb wʋmame bɩ?	Vous avez compris (ou bien) ?	Did you understand (or not)?
Bɩ y yɩ pʋ-peelem dãmba.	Soyez des gens sincères /honnêtes.	You have to be sincere / honest people.
Yʋʋm piig la a nu biig nan pa ta a bɩ-n-sar ye.	À 15 ans un enfant n'a pas encore atteint une croissance complète.	At 15 a child has not yet reached full growth.
Yaa bɩgemd bɩ kãsre?	C'est mûr ou bien encore vert (non mûr)?	Is it ripe or still green (unripe)?
Tõnd tog n yaoome bɩɩ, bɩ d ka tog n yao?	Devons-nous payer ou ne pas payer?	Should we pay them, or should we not?
Waoog taab la bɩɩm koom fʋrsda.	C'est par respect que l'on sirote la soupe. (Proverbe)	It is out of respect that we sip the soup. (Proverb)
pʋ-bɩɩng soab pa tog ne tʋʋm-kegems ye.	pʋ-bɩɩng soab pa tog ne tʋʋm-kegems ye.	pʋ-bɩɩng soab pa tog ne tʋʋm-kegems ye.
rã-bɩɩr sã nmaage, b lobd-a-la bɩlle.	rã-bɩɩr sã nmaage, b lobd-a-la bɩlle.	rã-bɩɩr sã nmaage, b lobd-a-la bɩlle.
Rãamã bɩɩsda beoogo.	Rãamã bɩɩsda beoogo.	Rãamã bɩɩsda beoogo.
A nobame n lebg bɩl-bɩle.	A nobame n lebg bɩl-bɩle.	A nobame n lebg bɩl-bɩle.
Gom n bɩle, yaa gom ne pagdo.	Gom n bɩle, yaa gom ne pagdo.	Gom n bɩle, yaa gom ne pagdo.
Bur maanda ne bɩle zom.	Le pain est fait de farine de blé.	Bread is made from wheat flour.
Rãamã nan ka lob bɩll ye (rabɩlle).	Rãamã nan ka lob bɩll ye (rabɩlle).	Rãamã nan ka lob bɩll ye (rabɩlle).
Weefã kẽnda bɩnde.	Le cheval marche au trot.	The horse trots.
A bɩra zomã n pak bẽ-kɩda.	A bɩra zomã n pak bẽ-kɩda.	A bɩra zomã n pak bẽ-kɩda.
Yaa tʋʋlg bɩs-bɩse.	C'est très chaud.	It is very hot.
'	'	'
,	,	,
Sãabã zugda b boaagã.	Les forgerons soufflent dans le haut fourneau.	The blacksmiths blow into the blast furnace.
tɩ sak boaalã la f wa.	tɩ sak boaalã la f wa.	tɩ sak boaalã la f wa.
Pag pa yɩɩd a boaand ye.	La femme ne dépasse pas celui qui l'appelle. (Proverbe: aucune personne ne peut prétendre être olus intelligence qu plus rusée que tout le monde. Aussi, il lui est difficile de pouvoir éviter à chaque fois les pièges que les uns et les autres lui tendent.)	The woman does not go beyond the one who calls her. (Proverb: no person can claim to be more intelligent than more cunning than everyone. Also, it is difficult for him to be able to avoid every time the traps that each one set for him.)
Pagã teega boabga.	Pagã teega boabga.	Pagã teega boabga.
Mam sẽn get yõoa wi wã, a na n yɩɩ boaboaaga.	Mam sẽn get yõoa wi wã, a na n yɩɩ boaboaaga.	Mam sẽn get yõoa wi wã, a na n yɩɩ boaboaaga.
kibare a se!n wʋmã kitame t'a põaaga bendg boada.	kibare a se!n wʋmã kitame t'a põaaga bendg boada.	kibare a se!n wʋmã kitame t'a põaaga bendg boada.
Wamã wẽnda taab la b ka boag ye.	Les calebasses se ressemblent mais elles ne sont pas identiques. (Proverbe)	Calabashes look alike but they are not the same. (Proverb)
Weefã siga boaga.	Weefã siga boaga.	Weefã siga boaga.
yɛg-boagdenga.	joue scarifiée.	scarred cheek.
kõ-m gʋ-boak tɩ m wãbe.	Donne-moi la cola fendu pour mâcher.	Give me the split cola to chew.
Wefã rulɩɩbr sẽn gãandã, sã n tabge yaa boala.	Wefã rulɩɩbr sẽn gãandã, sã n tabge yaa boala.	Wefã rulɩɩbr sẽn gãandã, sã n tabge yaa boala.
Ad yaa rasãn-boalenga.	C'est un jeune homme parfait.	He is a perfect young man.
boalg yaa rãam sẽn dʋg pipi n yoog n nan pa bɩɩse (roalga).	boalg yaa rãam sẽn dʋg pipi n yoog n nan pa bɩɩse (roalga).	boalg yaa rãam sẽn dʋg pipi n yoog n nan pa bɩɩse (roalga).
A leems-a-la boama.	A leems-a-la boama.	A leems-a-la boama.
a forgã lim-a-la boara.	a forgã lim-a-la boara.	a forgã lim-a-la boara.
Tõnd yaa bob-n-dõbẽ: d sẽn wʋm koɛɛgã ne d sẽn looge.	Tõnd yaa bob-n-dõbẽ: d sẽn wʋm koɛɛgã ne d sẽn looge.	Tõnd yaa bob-n-dõbẽ: d sẽn wʋm koɛɛgã ne d sẽn looge.
Bob n pɩʋʋg yam wã yã, rẽ tɩ korg loog yã.	Voilà que la bonne idée de porter le sac en bandoulière est venue après que le sac soit perdu. (Proverbe: il s'agit d'une solution ou d'un remède qui est arrivé trop tard.)	Now the good idea to carry the bag over the shoulder came after the bag was lost. (Proverb: This is a solution or a cure that came too late.)
